0.87	83.27	224.43		170.17	312.02		406.57	530.53		780.07	620.39		690.46	431.79		670.63	99.65		611.95	216.69		642.19	549.06		206.86	129.09		158.61	137.17	
0.88	82.48	226.32		168.08	311.48		404.68	530.72		779.78	621.36		690.04	432.96		673.12	99.6		610.8	214.56		644.56	551.44		208.64	128.16		159.64	135.08	
0.89	81.69	228.21		165.99	310.94		402.79	530.91		779.49	622.33		689.62	434.13		675.61	99.55		609.65	212.43		646.93	553.82		210.42	127.23		160.67	132.99	
0.9	80.9	230.1		163.9	310.4		400.9	531.1		779.2	623.3		689.2	435.3		678.1	99.5		608.5	210.3		649.3	556.2		212.2	126.3		161.7	130.9	
0.91	80.11	231.99		161.81	309.86		399.01	531.29		778.91	624.27		688.78	436.47		680.59	99.45		607.35	208.17		651.67	558.58		213.98	125.37		162.73	128.81	
0.92	79.32	233.88		159.72	309.32		397.12	531.48		778.62	625.24		688.36	437.64		683.08	99.4		606.2	206.04		654.04	560.96		215.76	124.44		163.76	126.72	
0.93	78.53	235.77		157.63	308.78		395.23	531.67		778.33	626.21		687.94	438.81		685.57	99.35		605.05	203.91		656.41	563.34		217.54	123.51		164.79	124.63	
0.94	77.74	237.66		155.54	308.24		393.34	531.86		778.04	627.18		687.52	439.98		688.06	99.3		603.9	201.78		658.78	565.72		219.32	122.58		165.82	122.54	
0.95	76.95	239.55		153.45	307.7		391.45	532.05		777.75	628.15		687.1	441.15		690.55	99.25		602.75	199.65		661.15	568.1		221.1	121.65		166.85	120.45	
0.96	76.16	241.44		151.36	307.16		389.56	532.24		777.46	629.12		686.68	442.32		693.04	99.2		601.6	197.52		663.52	570.48		222.88	120.72		167.88	118.36	
0.97	75.37	243.33		149.27	306.62		387.67	532.43		777.17	630.09		686.26	443.49		695.53	99.15		600.45	195.39		665.89	572.86		224.66	119.79		168.91	116.27	
0.98	74.58	245.22		147.18	306.08		385.78	532.62		776.88	631.06		685.84	444.66		698.02	99.1		599.3	193.26		668.26	575.24		226.44	118.86		169.94	114.18	
0.99	73.79	247.11		145.09	305.54		383.89	532.81		776.59	632.03		685.42	445.83		700.51	99.05		598.15	191.13		670.63	577.62		228.22	117.93		170.97	112.09	
1	73	249		143	305		382	533		776.3	633		685	447		703	99		597	189		673	580		230	117		172	110	
1.01	72.21	250.89		140.91	304.46		380.11	533.19		776.01	633.97		684.58	448.17		705.49	98.95		595.85	186.87		675.37	582.38		231.78	116.07		173.03	107.91	
1.02	71.42	252.78		138.82	303.92		378.22	533.38		775.72	634.94		684.16	449.34		707.98	98.9		594.7	184.74		677.74	584.76		233.56	115.14		174.06	105.82	
1.03	70.63	254.67		136.73	303.38		376.33	533.57		775.43	635.91		683.74	450.51		710.47	98.85		593.55	182.61		680.11	587.14		235.34	114.21		175.09	103.73	
1.04	69.84	256.56		134.64	302.84		374.44	533.76		775.14	636.88		683.32	451.68		712.96	98.8		592.4	180.48		682.48	589.52		237.12	113.28		176.12	101.64	
1.05	69.05	258.45		132.55	302.3		372.55	533.95		774.85	637.85		682.9	452.85		715.45	98.75		591.25	178.35		684.85	591.9		238.9	112.35		177.15	99.55	
1.06	68.26	260.34		130.46	301.76		370.66	534.14		774.56	638.82		682.48	454.02		717.94	98.7		590.1	176.22		687.22	594.28		240.68	111.42		178.18	97.46	
1.07	67.47	262.23		128.37	301.22		368.77	534.33		774.27	639.79		682.06	455.19		720.43	98.65		588.95	174.09		689.59	596.66		242.46	110.49		179.21	95.37	
1.08	66.68	264.12		126.28	300.68		366.88	534.52		773.98	640.76		681.64	456.36		722.92	98.6		587.8	171.96		691.96	599.04		244.24	109.56		180.24	93.28	
1.09	65.89	266.01		124.19	300.14		364.99	534.71		773.69	641.73		681.22	457.53		725.41	98.55		586.65	169.83		694.33	601.42		246.02	108.63		181.27	91.19	
1.1	65.1	267.9		122.1	299.6		363.1	534.9		773.4	642.7		680.8	458.7		727.9	98.5		585.5	167.7		696.7	603.8		247.8	107.7		182.3	89.1	
1.11	64.31	269.79		120.01	299.06		361.21	535.09		773.11	643.67		680.38	459.87		730.39	98.45		584.35	165.57		699.07	606.18		249.58	106.77		183.33	87.01	
1.12	63.52	271.68		117.92	298.52		359.32	535.28		772.82	644.64		679.96	461.04		732.88	98.4		583.2	163.44		701.44	608.56		251.36	105.84		184.36	84.92	
1.13	62.73	273.57		115.83	297.98		357.43	535.47		772.53	645.61		679.54	462.21		735.37	98.35		582.05	161.31		703.81	610.94		253.14	104.91		185.39	82.83	
1.14	61.94	275.46		113.74	297.44		355.54	535.66		772.24	646.58		679.12	463.38		737.86	98.3		580.9	159.18		706.18	613.32		254.92	103.98		186.42	80.74	
1.15	61.15	277.35		111.65	296.9		353.65	535.85		771.95	647.55		678.7	464.55		740.35	98.25		579.75	157.05		708.55	615.7		256.7	103.05		187.45	78.65	
1.16	60.36	279.24		109.56	296.36		351.76	536.04		771.66	648.52		678.28	465.72		742.84	98.2		578.6	154.92		710.92	618.08		258.48	102.12		188.48	76.56	
1.17	59.57	281.13		107.47	295.82		349.87	536.23		771.37	649.49		677.86	466.89		745.33	98.15		577.45	152.79		713.29	620.46		260.26	101.19		189.51	74.47	
1.18	58.78	283.02		105.38	295.28		347.98	536.42		771.08	650.46		677.44	468.06		747.82	98.1		576.3	150.66		715.66	622.84		262.04	100.26		190.54	72.38	
1.19	57.99	284.91		103.29	294.74		346.09	536.61		770.79	651.43		677.02	469.23		750.31	98.05		575.15	148.53		718.03	625.22		263.82	99.33		191.57	70.29	
1.2	57.2	286.8		101.2	294.2		344.2	536.8		770.5	652.4		676.6	470.4		752.8	98		574	146.4		720.4	627.6		265.6	98.4		192.6	68.2	
1.21	56.41	288.69		99.11	293.66		342.31	536.99		770.21	653.37		676.18	471.57		755.29	97.95		572.85	144.27		722.77	629.98		267.38	97.47		193.63	66.11	
1.22	55.62	290.58		97.02	293.12		340.42	537.18		769.92	654.34		675.76	472.74		757.78	97.9		571.7	142.14		725.14	632.36		269.16	96.54		194.66	64.02	
